,customer_id,age,is_premium_user,total_visits,avg_session_time,pages_per_session,email_open_rate,email_click_rate,total_spent,avg_order_value,discount_used,support_tickets,refund_requested,delivery_delay_days,satisfaction_score,nps_score,marketing_spend_per_user,lifetime_value,last_3_month_purchase_freq,churn,signup_date_year,signup_date_month,signup_date_day,signup_date_day_of_week,last_purchase_date_year,last_purchase_date_month,last_purchase_date_day,last_purchase_date_day_of_week,customer_tenure_days,spending_per_visit,support_burden
customer_id,1.0,-0.017721335933588784,0.007065172772084458,0.0013977291570735466,0.005745690073579818,0.008491747668976372,-0.005169761623765984,0.013004194711331091,-0.006009140065277037,-0.012629800932177117,0.0031130015584824823,-0.0018416603476280394,-0.013184407706711455,-0.01420498372112293,0.0006148277901424607,0.0005640146421470849,0.004482636334958981,0.0031199794328055316,0.0019059226797170773,0.012208440394967171,0.0034020438463416972,0.007736939138045129,-0.004180484325470326,-0.0004728761691025434,-0.002370136221548764,0.00045637279557261086,-0.013451153828800164,0.0007287199648259694,-0.0063859606816054305,-0.01222358006447703,-0.007585571156849453
age,-0.017721335933588784,1.0,0.009754737921677482,-0.001675318499825131,0.003558231003809614,-0.013978546993300606,0.019010170104769103,0.01787566349259373,0.19102953712522747,0.002160893768622759,0.00276003783660228,-0.0019002929895673944,-0.0020259832303529055,0.0009975862467752519,0.0006842617991005564,-0.011489515298290731,0.001515977602849162,-0.008450719782403518,-0.01658228866871386,0.003858007611061954,-0.004466899412563647,0.0083804585949778,-0.0071826120485087045,-0.005117156048912204,0.012513419942627474,-0.0027829256855825962,-0.008562556193739777,-0.004565762793794745,0.008247417648976275,0.17926368194344286,-0.005139141431734803
is_premium_user,0.007065172772084458,0.009754737921677482,1.0,0.01610525144335075,-1.7136457200084337e-05,0.00046567305574618046,-0.0029122181078823813,-0.000984762440574724,0.0019362954040113662,0.0001169749688952232,0.009205846336699497,0.0068394915620795345,0.0006559482680207041,-0.00915707679010912,-0.0018659865473590865,-0.00688224985580201,0.012422620676724437,0.006788144328094803,0.0004880978591535821,-0.005496049681627459,0.006169121961252254,-0.008988970889180513,0.005767029358242849,0.009466801522638107,0.0057243139839520864,-0.012040882245052526,0.004101100860778236,0.012002982632571902,-0.00233066153129171,-0.0010887770785565074,0.0005214403688137655
total_visits,0.0013977291570735466,-0.001675318499825131,0.01610525144335075,1.0,0.004941923335095521,0.004953711796668627,-0.003958323946911154,0.0050417948944496485,0.00416317379585527,-0.011927201978148573,-0.0014703265515171099,0.0016517439470890567,0.000672605069450857,0.003964517758113703,-0.008584157102857648,0.002222325638047239,0.005589180068190515,-0.0037506535618948306,-0.007208499755234824,0.013212061402072817,0.0014969765343641039,-0.0031723773772022474,-0.010804850095221662,0.010058827478143515,-0.0036097108401815536,0.009315442532994793,-0.002740330740585687,-0.01251690170576987,0.000337214986974919,-0.29924156636874066,-0.3464720473189929
avg_session_time,0.005745690073579818,0.003558231003809614,-1.7136457200084337e-05,0.004941923335095521,1.0,-0.00590821714210284,0.005608903464666147,0.009847426377874858,0.0023377580819151896,-0.005436511745813379,-0.0011894443988926854,0.003990284703106203,-0.004294498275169331,-0.005944619977472819,-0.00866734932366738,-0.00281072070922535,-0.009693522147347537,-0.0005360678631256599,-0.000131922697884957,0.012198402141640436,-0.009418196378244956,0.002824464846087859,0.01562921102648802,0.0033851747607306724,0.0012131147447973936,-0.005907860327080129,-0.007796618815018708,-0.0012169175765662718,0.0050793951052708515,0.00045663186061429694,0.001310900229596204
pages_per_session,0.008491747668976372,-0.013978546993300606,0.00046567305574618046,0.004953711796668627,-0.00590821714210284,1.0,-0.006517117524028426,0.006914933718834933,-0.017177193421958975,-0.0015864411729171989,0.009741159528128204,0.010640647415073623,-0.0056003041264949,0.012495143848593545,-0.013392220009081513,0.001997435902825064,0.004104957638929974,0.0024676200176345768,-0.003138864515588123,0.005870899359851361,-0.017520269883916695,0.002284520823446394,0.006343165170853107,0.008082150871315703,-0.0056975287263780405,-0.001254022522608029,0.00015494786601161594,-0.0024081108234908794,0.009051027740394632,-0.009040431326794817,0.012565504359638645
email_open_rate,-0.005169761623765984,0.019010170104769103,-0.0029122181078823813,-0.003958323946911154,0.005608903464666147,-0.006517117524028426,1.0,0.0019337043406487363,0.0069931740900075045,-0.0016909434505930415,-0.008307534933623148,0.001097049607776736,0.011947516573690765,-0.0032033304591143267,0.0005698991154475456,-0.008692935835915794,0.008149092414117196,0.004333120602672934,-0.016969787549263062,-0.008439165597504147,-0.0007778831321586726,0.003368317395486599,-0.0019979233248753033,0.00023261721880151186,-0.01706497736956517,0.0011547152634340694,0.007347426831411989,0.007016631650847136,-0.010497627288642715,0.0009645890708940507,0.0016203477706875323
email_click_rate,0.013004194711331091,0.01787566349259373,-0.000984762440574724,0.0050417948944496485,0.009847426377874858,0.006914933718834933,0.0019337043406487363,1.0,0.01717921502546604,0.002633316378508718,-0.018471460114443478,-0.01221299903473231,0.0036140199424097353,0.012926081500243686,0.0032103873407329344,-0.013208330341491669,0.000312034464937709,-0.021961681555182168,-0.0010701274753916145,-0.0017521103898377613,0.0035831025140206306,-0.0062151985811249935,-0.005149047229746961,-0.0011724267757553715,-0.015203699849511447,0.015451726441316968,0.007563831939467876,-0.005022487448619036,-0.005859474066408402,0.016956642821743743,-0.010311821853904276
total_spent,-0.006009140065277037,0.19102953712522747,0.0019362954040113662,0.00416317379585527,0.0023377580819151896,-0.017177193421958975,0.0069931740900075045,0.01717921502546604,1.0,-0.0024345108603385968,-0.0198244130328697,-0.0068928714914572664,-0.0049833189236458695,0.004782729680602786,0.005756800626391445,0.0004943988453627668,0.017104193213965453,-0.0029824778286912422,0.0008362905135839421,-0.15852546362685466,-0.004211399172773658,0.0015927781862872623,-0.006656309937537841,0.013223681756137792,0.008507683362299338,0.0006110030344676828,0.00402188030648101,0.0041424658005288885,0.008689654636878942,0.9046159494430593,-0.007553609570305568
avg_order_value,-0.012629800932177117,0.002160893768622759,0.0001169749688952232,-0.011927201978148573,-0.005436511745813379,-0.0015864411729171989,-0.0016909434505930415,0.002633316378508718,-0.0024345108603385968,1.0,-0.021285726619585013,-0.00023850553360736,0.0023946137332123097,0.0060013505340627046,-0.014652612475976183,0.004173260330627916,0.0006190169802345961,-0.004245150857265538,0.0002011493060154562,-0.001479509376281222,-0.004693556437296533,-0.0023724661480433716,0.005910261676051208,-0.00667430976565146,0.000768413063085942,-0.008973323911997996,-0.009602902663080426,-0.009453162945580998,0.0018487343087640763,-0.0013399324773386548,0.004289743899885486
